Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2013-01-01,41,27,34.0,-0.3,31,0,T,T,0
2013-01-02,35,24,29.5,-4.6,35,0,0.00,0.0,0
2013-01-03,34,26,30.0,-3.9,35,0,0.00,0.0,0
2013-01-04,40,28,34.0,0.3,31,0,0.00,0.0,0
2013-01-05,44,31,37.5,3.9,27,0,0.00,0.0,0
2013-01-06,48,33,40.5,7.1,24,0,T,T,0
2013-01-07,47,31,39.0,5.7,26,0,0.00,0.0,0
2013-01-08,50,27,38.5,5.4,26,0,0.00,0.0,0
2013-01-09,50,32,41.0,8.0,24,0,0.00,0.0,0
2013-01-10,50,37,43.5,10.6,21,0,0.00,0.0,0
2013-01-11,46,34,40.0,7.2,25,0,0.54,0.0,0
2013-01-12,49,43,46.0,13.3,19,0,0.02,0.0,0
2013-01-13,49,43,46.0,13.4,19,0,T,0.0,0
2013-01-14,58,41,49.5,17.0,15,0,0.06,0.0,0
2013-01-15,41,35,38.0,5.6,27,0,0.11,0.0,0
2013-01-16,37,32,34.5,2.1,30,0,0.70,0.3,0
2013-01-17,46,36,41.0,8.7,24,0,0.00,0.0,0
2013-01-18,36,27,31.5,-0.8,33,0,T,T,0
2013-01-19,52,28,40.0,7.8,25,0,0.00,0.0,0
2013-01-20,56,30,43.0,10.8,22,0,0.00,0.0,0
2013-01-21,33,25,29.0,-3.2,36,0,0.00,0.0,0
2013-01-22,27,14,20.5,-11.7,44,0,T,0.1,0
2013-01-23,21,11,16.0,-16.2,49,0,0.00,0.0,0
2013-01-24,25,11,18.0,-14.2,47,0,0.00,0.0,0
2013-01-25,24,12,18.0,-14.2,47,0,0.04,0.7,0
2013-01-26,28,13,20.5,-11.8,44,0,0.00,0.0,1
2013-01-27,36,16,26.0,-6.3,39,0,0.00,0.0,0
2013-01-28,35,25,30.0,-2.4,35,0,0.13,0.3,0
2013-01-29,53,34,43.5,11.0,21,0,0.06,0.0,0
2013-01-30,66,40,53.0,20.5,12,0,0.04,0.0,0
2013-01-31,62,30,46.0,13.4,19,0,0.79,T,0
2013-02-01,34,24,29.0,-3.7,36,0,T,T,0
2013-02-02,31,18,24.5,-8.4,40,0,0.02,0.3,0
2013-02-03,33,22,27.5,-5.5,37,0,0.01,0.1,T
2013-02-04,32,22,27.0,-6.1,38,0,0.00,0.0,0
2013-02-05,32,27,29.5,-3.8,35,0,0.02,0.4,T
2013-02-06,42,29,35.5,2.1,29,0,T,T,T
2013-02-07,34,24,29.0,-4.6,36,0,0.00,0.0,0
2013-02-08,36,28,32.0,-1.7,33,0,0.72,4.6,0
2013-02-09,34,20,27.0,-6.9,38,0,0.54,5.4,8
2013-02-10,35,15,25.0,-9.1,40,0,0.00,0.0,7
2013-02-11,44,31,37.5,3.3,27,0,0.42,0.0,5
2013-02-12,47,35,41.0,6.6,24,0,0.00,0.0,2
2013-02-13,46,29,37.5,2.9,27,0,0.03,T,0
2013-02-14,48,32,40.0,5.2,25,0,T,T,0
2013-02-15,57,32,44.5,9.5,20,0,T,0.0,0
2013-02-16,41,31,36.0,0.7,29,0,0.03,T,0
2013-02-17,34,18,26.0,-9.5,39,0,0.00,0.0,0
2013-02-18,37,17,27.0,-8.7,38,0,0.00,0.0,0
2013-02-19,50,30,40.0,4.1,25,0,0.21,0.0,0
2013-02-20,38,25,31.5,-4.6,33,0,0.00,0.0,0
2013-02-21,36,24,30.0,-6.4,35,0,0.00,0.0,0
2013-02-22,39,23,31.0,-5.6,34,0,T,T,0
2013-02-23,44,37,40.5,3.7,24,0,0.34,0.0,0
2013-02-24,51,34,42.5,5.4,22,0,T,0.0,0
2013-02-25,46,30,38.0,0.7,27,0,0.00,0.0,0
2013-02-26,45,31,38.0,0.4,27,0,0.18,T,0
2013-02-27,50,38,44.0,6.2,21,0,1.33,0.0,0
