Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2013-01-01,41,27,34.0,-0.6,31,0,0.00,0.0,0
2013-01-02,35,23,29.0,-5.4,36,0,0.00,0.0,0
2013-01-03,33,25,29.0,-5.2,36,0,0.00,0.0,0
2013-01-04,39,30,34.5,0.5,30,0,0.00,0.0,0
2013-01-05,45,32,38.5,4.6,26,0,0.00,0.0,0
2013-01-06,45,33,39.0,5.3,26,0,T,T,T
2013-01-07,47,30,38.5,5.0,26,0,0.00,0.0,0
2013-01-08,49,30,39.5,6.1,25,0,0.00,0.0,0
2013-01-09,48,33,40.5,7.3,24,0,0.00,0.0,0
2013-01-10,50,37,43.5,10.4,21,0,0.00,0.0,0
2013-01-11,47,33,40.0,7.0,25,0,0.58,0.0,0
2013-01-12,49,43,46.0,13.1,19,0,0.06,0.0,0
2013-01-13,47,42,44.5,11.8,20,0,0.01,0.0,0
2013-01-14,58,39,48.5,15.9,16,0,0.03,0.0,0
2013-01-15,39,35,37.0,4.4,28,0,0.11,0.0,0
2013-01-16,38,33,35.5,3.0,29,0,0.82,0.1,0
2013-01-17,46,36,41.0,8.6,24,0,0.00,0.0,0
2013-01-18,36,25,30.5,-1.8,34,0,T,T,0
2013-01-19,52,31,41.5,9.2,23,0,0.00,0.0,0
2013-01-20,56,31,43.5,11.3,21,0,0.00,0.0,0
2013-01-21,33,26,29.5,-2.7,35,0,0.03,0.1,0
2013-01-22,28,14,21.0,-11.2,44,0,T,T,0
2013-01-23,21,12,16.5,-15.7,48,0,0.00,0.0,0
2013-01-24,26,13,19.5,-12.7,45,0,0.00,0.0,0
2013-01-25,24,14,19.0,-13.2,46,0,0.05,0.8,0
2013-01-26,27,14,20.5,-11.7,44,0,0.00,0.0,1
2013-01-27,35,18,26.5,-5.7,38,0,0.00,0.0,0
2013-01-28,35,24,29.5,-2.8,35,0,0.19,0.1,0
2013-01-29,48,34,41.0,8.7,24,0,0.03,0.0,0
2013-01-30,52,41,46.5,14.1,18,0,0.03,0.0,0
2013-01-31,56,30,43.0,10.5,22,0,0.45,T,0
2013-02-01,33,24,28.5,-4.0,36,0,T,T,0
2013-02-02,31,20,25.5,-7.1,39,0,0.02,0.3,0
2013-02-03,32,22,27.0,-5.7,38,0,0.03,0.5,1
2013-02-04,32,24,28.0,-4.8,37,0,0.00,0.0,0
2013-02-05,32,28,30.0,-2.9,35,0,0.01,0.2,T
2013-02-06,41,29,35.0,1.9,30,0,T,T,0
2013-02-07,33,23,28.0,-5.2,37,0,0.00,0.0,0
2013-02-08,36,27,31.5,-1.8,33,0,0.78,2.9,T
2013-02-09,32,21,26.5,-7.0,38,0,0.18,3.5,6
2013-02-10,34,17,25.5,-8.1,39,0,0.00,0.0,5
2013-02-11,45,34,39.5,5.7,25,0,0.46,0.0,4
2013-02-12,47,37,42.0,8.0,23,0,0.00,0.0,2
2013-02-13,43,28,35.5,1.4,29,0,0.01,T,0
2013-02-14,45,32,38.5,4.2,26,0,T,T,0
2013-02-15,49,32,40.5,6.0,24,0,T,0.0,0
2013-02-16,45,31,38.0,3.3,27,0,T,T,0
2013-02-17,34,18,26.0,-8.9,39,0,0.00,0.0,0
2013-02-18,36,18,27.0,-8.0,38,0,0.00,0.0,0
2013-02-19,45,31,38.0,2.8,27,0,0.13,0.0,0
2013-02-20,39,26,32.5,-2.9,32,0,0.00,0.0,0
2013-02-21,37,24,30.5,-5.1,34,0,0.00,0.0,0
2013-02-22,38,26,32.0,-3.9,33,0,T,T,0
2013-02-23,44,36,40.0,3.9,25,0,0.38,0.0,0
2013-02-24,49,34,41.5,5.2,23,0,0.03,0.0,0
2013-02-25,46,31,38.5,2.0,26,0,0.00,0.0,0
2013-02-26,44,31,37.5,0.8,27,0,0.10,0.0,0
2013-02-27,49,38,43.5,6.6,21,0,0.60,0.0,0
2013-02-28,51,40,45.5,8.4,19,0,T,0.0,0
2013-03-01,47,36,41.5,4.1,23,0,0.00,0.0,0
2013-03-02,41,32,36.5,-1.1,28,0,T,T,0
2013-03-03,42,29,35.5,-2.3,29,0,T,T,0
2013-03-04,44,27,35.5,-2.5,29,0,0.00,0.0,0
2013-03-05,48,31,39.5,1.2,25,0,0.00,0.0,0
2013-03-06,45,35,40.0,1.5,25,0,T,T,0
2013-03-07,39,33,36.0,-2.7,29,0,0.07,T,0
2013-03-08,40,31,35.5,-3.5,29,0,0.27,3.0,1
2013-03-09,55,34,44.5,5.3,20,0,0.00,0.0,1
2013-03-10,43,31,37.0,-2.5,28,0,0.00,0.0,0
2013-03-11,52,39,45.5,5.8,19,0,0.00,0.0,0
2013-03-12,53,43,48.0,8.0,17,0,0.66,0.0,0
2013-03-13,53,38,45.5,5.3,19,0,0.00,0.0,0
2013-03-14,42,30,36.0,-4.5,29,0,0.00,0.0,0
2013-03-15,48,30,39.0,-1.7,26,0,0.00,0.0,0
2013-03-16,41,33,37.0,-4.0,28,0,0.02,T,0
2013-03-17,39,30,34.5,-6.8,30,0,0.00,0.0,0
2013-03-18,36,26,31.0,-10.5,34,0,0.47,1.4,0
2013-03-19,45,35,40.0,-1.8,25,0,0.46,0.0,T
2013-03-20,47,32,39.5,-2.6,25,0,0.00,0.0,0
2013-03-21,39,31,35.0,-7.4,30,0,T,T,0
2013-03-22,44,29,36.5,-6.2,28,0,0.00,0.0,0
2013-03-23,48,32,40.0,-3.0,25,0,0.00,0.0,0
2013-03-24,47,32,39.5,-3.8,25,0,0.00,0.0,0
2013-03-25,40,34,37.0,-6.6,28,0,0.25,T,0
2013-03-26,53,36,44.5,0.6,20,0,T,0.0,0
2013-03-27,54,35,44.5,0.3,20,0,0.00,0.0,0
2013-03-28,53,37,45.0,0.5,20,0,T,0.0,0
2013-03-29,56,41,48.5,3.7,16,0,0.00,0.0,0
2013-03-30,58,39,48.5,3.3,16,0,0.00,0.0,0
2013-03-31,52,35,43.5,-2.0,21,0,0.12,0.0,0
2013-04-01,63,37,50.0,4.2,15,0,T,0.0,0
2013-04-02,45,33,39.0,-7.2,26,0,0.00,0.0,0
2013-04-03,48,33,40.5,-6.0,24,0,0.00,0.0,0
2013-04-04,45,32,38.5,-8.3,26,0,0.00,0.0,0
2013-04-05,64,40,52.0,4.8,13,0,T,0.0,0
2013-04-06,49,36,42.5,-5.0,22,0,0.00,0.0,0
2013-04-07,52,37,44.5,-3.4,20,0,T,0.0,0
2013-04-08,68,42,55.0,6.8,10,0,0.00,0.0,0
2013-04-09,83,47,65.0,16.4,0,0,0.00,0.0,0
2013-04-10,71,53,62.0,13.1,3,0,0.59,0.0,0
2013-04-11,60,47,53.5,4.2,11,0,0.00,0.0,0
