Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2013-01-01,41,27,34.0,-2.1,31,0,T,0.0,0
2013-01-02,34,23,28.5,-7.4,36,0,0.00,0.0,0
2013-01-03,34,25,29.5,-6.2,35,0,0.00,0.0,0
2013-01-04,39,33,36.0,0.5,29,0,0.00,0.0,0
2013-01-05,43,34,38.5,3.1,26,0,0.00,0.0,0
2013-01-06,47,34,40.5,5.3,24,0,T,T,0
2013-01-07,45,38,41.5,6.5,23,0,0.00,0.0,0
2013-01-08,49,37,43.0,8.1,22,0,0.00,0.0,0
2013-01-09,51,36,43.5,8.8,21,0,0.00,0.0,0
2013-01-10,48,40,44.0,9.4,21,0,0.00,0.0,0
2013-01-11,45,37,41.0,6.5,24,0,0.49,0.0,0
2013-01-12,46,42,44.0,9.6,21,0,0.05,0.0,0
2013-01-13,50,42,46.0,11.8,19,0,T,0.0,0
2013-01-14,55,39,47.0,12.8,18,0,0.06,0.0,0
2013-01-15,40,36,38.0,3.9,27,0,0.11,T,0
2013-01-16,40,33,36.5,2.5,28,0,0.67,0.1,T
2013-01-17,44,36,40.0,6.1,25,0,0.00,0.0,0
2013-01-18,36,26,31.0,-2.9,34,0,T,T,0
2013-01-19,52,31,41.5,7.7,23,0,0.00,0.0,0
2013-01-20,54,31,42.5,8.7,22,0,0.00,0.0,0
2013-01-21,32,28,30.0,-3.8,35,0,0.00,0.0,0
2013-01-22,29,15,22.0,-11.8,43,0,T,T,0
2013-01-23,20,12,16.0,-17.8,49,0,0.00,0.0,0
2013-01-24,25,15,20.0,-13.8,45,0,0.00,0.0,0
2013-01-25,25,14,19.5,-14.3,45,0,0.04,0.7,0
2013-01-26,29,18,23.5,-10.3,41,0,0.00,0.0,1
2013-01-27,35,21,28.0,-5.9,37,0,0.00,0.0,0
2013-01-28,37,29,33.0,-0.9,32,0,0.22,0.2,0
2013-01-29,46,37,41.5,7.5,23,0,0.09,0.0,0
2013-01-30,54,37,45.5,11.4,19,0,0.03,0.0,0
2013-01-31,60,31,45.5,11.4,19,0,0.88,0.0,0
2013-02-01,32,25,28.5,-5.7,36,0,0.00,0.0,0
2013-02-02,30,20,25.0,-9.3,40,0,0.01,0.4,0
2013-02-03,31,24,27.5,-6.9,37,0,0.03,0.3,1
2013-02-04,31,24,27.5,-7.1,37,0,0.00,0.0,T
2013-02-05,32,28,30.0,-4.7,35,0,0.02,0.3,0
2013-02-06,40,30,35.0,0.2,30,0,T,T,0
2013-02-07,33,26,29.5,-5.4,35,0,0.00,0.0,0
2013-02-08,36,27,31.5,-3.6,33,0,0.67,6.4,0
2013-02-09,34,23,28.5,-6.7,36,0,0.22,5.7,10
2013-02-10,36,20,28.0,-7.4,37,0,0.00,0.0,8
2013-02-11,46,34,40.0,4.4,25,0,0.52,0.0,5
2013-02-12,45,38,41.5,5.8,23,0,0.00,0.0,1
2013-02-13,44,34,39.0,3.1,26,0,0.02,T,0
2013-02-14,46,34,40.0,3.9,25,0,T,T,0
2013-02-15,53,37,45.0,8.7,20,0,0.00,0.0,0
2013-02-16,42,32,37.0,0.6,28,0,0.02,T,0
2013-02-17,32,19,25.5,-11.1,39,0,0.00,0.0,0
2013-02-18,36,19,27.5,-9.3,37,0,0.00,0.0,0
2013-02-19,47,33,40.0,3.0,25,0,0.16,0.0,0
2013-02-20,40,27,33.5,-3.7,31,0,0.00,0.0,0
2013-02-21,35,25,30.0,-7.4,35,0,0.00,0.0,0
2013-02-22,39,27,33.0,-4.6,32,0,T,0.0,0
2013-02-23,40,35,37.5,-0.3,27,0,0.27,0.0,0
2013-02-24,46,35,40.5,2.5,24,0,0.03,T,0
2013-02-25,44,33,38.5,0.3,26,0,0.00,0.0,0
2013-02-26,44,33,38.5,0.1,26,0,0.12,0.0,0
2013-02-27,48,36,42.0,3.3,23,0,1.11,0.0,0
2013-02-28,53,40,46.5,7.6,18,0,T,0.0,0
2013-03-01,44,37,40.5,1.4,24,0,0.00,0.0,0
2013-03-02,39,32,35.5,-3.8,29,0,T,T,0
2013-03-03,40,30,35.0,-4.6,30,0,T,0.1,0
2013-03-04,41,29,35.0,-4.8,30,0,0.00,0.0,0
2013-03-05,48,33,40.5,0.5,24,0,0.00,0.0,0
2013-03-06,43,38,40.5,0.2,24,0,T,T,0
2013-03-07,38,34,36.0,-4.5,29,0,0.13,T,0
