carrier,origin,dest,air_time,distance,Maximum,Minimum,Average,Departure,Precipitation,New Snow,Snow Depth,days_in_365,sched_time_in_min,Precipitation Binary,New Snow Binary,Snow Depth Binary,delay_class
B6,EWR,FLL,0.23999999999999994,0.2008974097491331,0.5061728395061729,0.4666666666666667,0.487012987012987,0.40087145969498905,0.00623441396508725,0.0,0.0,0.28708791208791207,0.5794556628621599,yes,no,no,yes
EV,EWR,SDF,0.1155555555555555,0.11492963491739745,0.7962962962962963,0.7466666666666667,0.775974025974026,0.34204793028322433,0.0,0.0,0.0,0.5631868131868132,0.08560140474100085,no,no,no,yes
UA,EWR,SFO,0.4748148148148148,0.5068325514990822,0.9012345679012346,0.8133333333333335,0.8636363636363635,0.7222222222222221,0.0,0.0,0.0,0.41208791208791207,0.6312554872695347,no,no,no,yes
B6,JFK,FLL,0.1903703703703703,0.2017132367937996,0.7839506172839505,0.7933333333333334,0.7922077922077922,0.4727668845315903,0.0,0.0,0.0,0.653846153846154,0.6057945566286216,no,no,no,yes
DL,JFK,FLL,0.3444444444444444,0.3524372832959412,0.1975308641975308,0.2,0.1948051948051948,0.1699346405228758,0.1172069825436409,0.2121212121212121,0.0,0.2087912087912088,0.6562774363476734,yes,yes,no,yes
DL,JFK,ATL,0.1274074074074074,0.1386905975933102,0.7777777777777778,0.7333333333333334,0.7597402597402598,0.35511982570806094,0.0,0.0,0.0,0.5728021978021979,0.7265144863915716,no,no,no,yes
UA,EWR,ORD,0.13703703703703696,0.1303283703854782,0.8641975308641975,0.8200000000000001,0.8474025974025974,0.4901960784313725,0.0,0.0,0.0,0.5013736263736264,0.5790166812993854,yes,no,no,yes
EV,EWR,DTW,0.1066666666666666,0.0832143585559861,0.6728395061728395,0.5666666666666668,0.6233766233766235,0.6078431372549018,0.01122194513715705,0.0,0.0,0.2939560439560439,0.6123792800702371,yes,no,no,yes
B6,EWR,FLL,0.17481481481481476,0.19029165816846827,0.4567901234567901,0.4933333333333333,0.4740259740259741,0.1721132897603485,0.0,0.0,0.0,0.3626373626373627,0.7260755048287971,no,no,no,yes
B6,JFK,BUF,0.0414814814814814,0.0413012441362431,0.6419753086419753,0.5933333333333334,0.6201298701298702,0.40087145969498905,0.0,0.0,0.0,0.7445054945054945,0.9416154521510096,no,no,no,yes
EV,EWR,CLT,0.12444444444444441,0.10942280236589841,0.308641975308642,0.3733333333333333,0.3376623376623377,0.5533769063180827,0.3291770573566085,0.0,0.0,0.9945054945054946,0.7440737489025461,yes,no,no,yes
